Line Segment Data	2569 items	kilometer
L3123452	D6198039-1_INT	0.066541735	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209776	M1209775	0.066478863	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125997	D5535139-1_INT	0.003340893	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125944	M1125947	0.17349389	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2674047	L2692655	0.06085092	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
R20185	D5513564-1_INT	0.021280456	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125968	M1125976	0.039982249	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2748144	M1069533	0.11810531	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125947	L3214071	0.05871119	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1186067	M3032980	0.05014083	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1136365	M1069517	0.029821136	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089202	M1089203	0.06301215	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3030204	M1186072	0.067199597	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2992624	M1125919	0.051051209	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
196-31070	D5861005-2_INT	0.006140917	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069495	M1069498	0.011219402	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3179646	L2674027	0.077364815	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069513	M1069516	0.088059547	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
190-8581	D5587291-3_INT	0.008351653	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142839	M1142832	0.072992255	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1149233	L3048965	0.097395629	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3214069	M1125960	0.050598301	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108493	N1142103	0.037206297	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2823611	L3030204	0.083489919	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M3032980	M1186065	0.16040988	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E184626	M1166377	0.010317742	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1186063	M1209776	0.061073663	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134476	L3066814	0.039901594	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209775	M1209774	0.16207054	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3118855	L3231255	0.050485134	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1136354	L2748144	0.011140901	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142869	M1142871	0.029849867	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
Q16483_CAP	R42247	0.005259517	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2933135	M1108484	0.075107603	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2955074	L3030199	0.089159532	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E183473	R20703	0.006443105	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2955077	M1142851	0.060265518	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134475	M1069497	0.033325263	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089213	L3118855	0.080539426	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108311	L2879773	0.088826538	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166377	M1166376	0.033759753	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089201	M1089202	0.004012168	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142874	M1142875	0.054959007	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3160098	M1089213	0.10637705	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3066814	N1134477	0.014268301	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125989	M1125990	0.004902735	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M3032980	M3032977	0.25744439	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069519	N1136354	0.15125949	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108526	M1089199	0.10033141	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108535	M1108534	0.30451406	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E192201	M1209800	0.055682141	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089196	M1089198	0.10686057	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069517	M1069518	0.024543488	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089198	M1089201	0.17704795	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
R42247	M1149233	0.039748412	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125969	L2767341	0.026095068	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1186072	M1186067	0.042173829	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2859403	L2973791	0.037957641	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142832	L3160865	0.067079697	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2917328	L2861218	0.064601236	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209790	M1209788	0.059115704	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1142104	M1108500	0.045482405	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069518	N1136366	0.016460727	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2861218	D5958866-1_INT	0.15933779	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142843	L3081380	0.110589	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134477	D5534969-2_INT	0.022611044	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2879773	M1108298	0.092671409	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166366	M1166368	0.041168179	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142851	196-31070	0.01385607	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3142049	M1108493	0.084670171	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089199	M1089197	0.081255207	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2730106	N1142099	0.022369032	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3231255	N1144663	0.025723178	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069498	M1069499	0.098245365	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3030199	M1125934	0.029294768	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069516	N1136365	0.051412645	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3160872	M1142860	0.05802805	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2766738	M1069513	0.055460277	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2692633	190-8581	0.039970119	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125976	M1125987	0.1729248	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2955081	M1108315	0.094684869	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108484	L2730106	0.10387141	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
226-23751	L2955081	0.041939554	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E193509	M1142839	0.062408228	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2842384	M1149236	0.067772686	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2823592_CAP	R20185	0.0451087	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3214071	M1125952	0.053927476	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069497	M1069495	0.015279011	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209774	L3123509	0.062531399	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108298	196-36167	0.039267282	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142819	M1142818	0.074984761	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1136356	M1069549	0.025808669	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069533	N1136356	0.11874853	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134479	D5682346-3_INT	0.063354321	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142868	M1142869	0.053961415	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069505	M1069509	0.031329125	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108529	M1108532	0.024808926	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134474	M1069496	0.056804141	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108532	M1108535	0.09298428	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2674027	L2692633	0.067881777	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2711226	M1142819	0.078168069	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209800	M1209797	0.075404767	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M4122658	L2933135	0.001669181	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108505	L2955047	0.05456149	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142871	M1142874	0.038152689	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1144663	M1089215	0.025465502	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089207	L3160098	0.023702345	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3160865	M1142828	0.13060128	3PH_H-397_ACSR397_ACSR397_ACSR2/0_WPAL-ABC
M1209807	M1209805	0.044159942	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
HVMV_Sub_48332	D5710794-3_INT	0.019436038	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
M1209817	L2801909	0.025252282	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
L2801909	M1209814	0.069272706	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
M1209811	M1209807	0.12260449	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
E192860	M1209817	0.019593344	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
M1209814	M1209811	0.10694866	3PH_H-397_ACSR397_ACSR397_ACSR397_ACSR-ABC
L3048965	M1142843	0.051340388	3PH_H-397_ACSR397_ACSR397_ACSR4_WPAL-ABC
M1108381	L3254237	0.075954944	3PH_H-4_ACSR2_ACSR2_ACSR4_ACSR-ABC
L2804256	M1026960	0.05396295	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026954	L2804256	0.21074118	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027002	L2673313	0.091680795	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027039	M1027043	0.027048511	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026927	196-29518	0.005140882	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027011	M1027013	0.10110684	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026926	M1026927	0.014065755	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
L2916608	M1027002	0.0865651	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026950	M1026954	0.1053978	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026907	M1026915	0.074023496	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
L2673313	M1027011	0.06549945	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
196-29518	L3122816	0.090438347	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027013	M1027023	0.098624395	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027023	L3254213	0.04437452	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026920	M1026926	0.093921268	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
L3122816	L3160103	0.5089061	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1026915	M1026920	0.04084655	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
L3160103	M1026950	0.024043888	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1027043	M1027055	0.04417751	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
L3254213	M1027039	0.063861519	3PH_H-4_ACSR2_ACSR2_ACSR4_WPAL-ABC
M1089141	L3160107	0.11055144	3PH_H-4_ACSR4_ACSR4_ACSR2_WPAL-ABC
M1026329	M1026328	0.034167636	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1142821	L2711226	0.001633431	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1108398	M1108395	0.068025827	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2973155	L3784018	0.064007809	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
E183472	L2989566	0.15613929	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3784018	N1136028	0.04831882	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3139121	L2763153	0.075011137	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047593	M1047615	0.1305568	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2841633	D5534970-1_INT	0.10656197	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1136028	L2876797	0.007802661	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1136996	M1047649	0.013881715	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1137986	M1047732	0.043062838	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047615	L3216123	0.001981911	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3216368	N1140827	0.027696815	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1089143	M1089141	0.13735777	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1136671	M1047593	0.042722162	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047507	196-35813	0.051031632	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1069154	L3197630	0.17770738	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1069156	M1069155	0.12496298	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026797	M1026796	0.002551339	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1145954	P827580	0.005747939	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026706	N1140825	0.01512159	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047713	M1047720	0.11019667	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
P827580	D5686080-1_INT	0.00800984	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047548	N1136670	0.018214834	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2876814	M1026834	0.079857191	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026800	M1026797	0.058380279	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1136670	M1047572	0.10644621	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047325	M1047324	0.009183718	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026724	R18243	0.006585273	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
P827514	M1026876	0.00609365	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026907	L3085398	0.056084116	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1140823	L2851933	0.060456164	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1142815	M1142814	0.14742893	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2766718	L3048206	0.091797543	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047572	M1047580	0.034997433	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047300	M1047299	0.062852147	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047303	L3027116	0.072205824	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047580	P828362	0.006961051	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
R18243	N1139552	0.030961363	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
196-36167	L3011298	0.081552278	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026891	L3160102	0.087272972	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2860491	D5926308-3_INT	0.034344255	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1137005	M1047724	0.013830884	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3027157	L2973155	0.11046365	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
196-35813	N1140519	0.007465685	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1142814	M1142810	0.30092212	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047737	L3027157	0.16212819	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3216123	N1136996	0.10425637	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2691954	L3122849	0.064206951	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026760	M1026744	0.11513443	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2841635	L2822869	0.059466993	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3010556	L2766718	0.1061942	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2841621	N1137986	0.034561444	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1108295	L2936279	0.083738516	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026357	M1026356	0.029594278	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3122849	M1026357	0.083981418	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1125994	D5867591-1_INT	0.003413313	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3235275	M1026347	0.085972603	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026866	M1026844	0.13450955	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2895449	N1137005	0.089101046	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026354	L3235275	0.071838269	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2763153	M1047293	0.048347248	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
E182732	M1026760	0.009180368	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1136658	M1047566	0.042895536	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3254218	L2860490	0.071264489	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1140825	L3216368	0.020403952	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1139552	M1026702	0.087676551	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026876	M1026866	0.10512359	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1140519	L2991914	0.056092185	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3085398	M1026891	0.085708298	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2689691	M1009763	0.083182489	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047503	L2841635	0.023766378	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3029498	M1089143	0.087713405	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
P828362	N1136671	0.006231854	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047568	P827527	0.015939035	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
P827527	N1136658	0.006141567	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047293	M1047292	0.020094199	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047515	M1047513	0.11268739	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1009763	E182733	0.082687134	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3160102	P827514	0.06127383	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2860490	L3104134	0.063357888	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026844	L2876814	0.002970239	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047513	M1047507	0.069519776	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047732	M1047737	0.086697851	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2896685	M1089185	0.024030357	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047339	L2860491	0.082877838	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1108395	L2896685	0.094743382	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026829	M1026824	0.13705468	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
N1140827	M1026726	0.017268995	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026330	M1026329	0.036059111	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026744	M1026724	0.16839524	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2991914	M1047503	0.035650057	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
F739845	293471	0.03048	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2822869	M1026808	0.094783217	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047720	L2895449	0.001919329	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026700	N1140823	0.037008228	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026356	M1026354	0.038743587	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026796	M1026795	0.030412228	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047299	L3139121	0.044989749	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1026834	M1026829	0.054002672	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1108286	L2933164	0.079292547	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3254238	M1047303	0.099313729	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
Q14412	M1047325	0.033944982	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L2897780	L3235255	0.043572099	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1069155	M1069154	0.10054978	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1047303	N1145954	0.004178292	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1108395	L2728247	0.086099659	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
R18242	L3254218	0.037866233	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
L3027116	M1047300	0.068887038	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1009650	E203026	0.27147085	3PH_H-4_ACSR4_ACSR4_ACSR4_ACSR-ABC
M1009770	L2689691	0.055687665	3PH_H-4_ACSR4_ACSR4_ACSR4_TPX-ABC
M1089131	L3029502	0.095769969	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
R18241	M1047763	0.06904958	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026795	M1026786	0.073764865	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
N1140818	L2973167	0.010689023	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3029502	D6138608-3_INT	0.085516894	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026695	N1140818	0.063212772	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2936271	M1142815	0.13955636	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2897777	N1144665	0.027116362	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1142818	P829965	0.06747348	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L3104125	M1089131	0.038246899	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2673346	L3254238	0.12918061	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2933164	L3029498	0.067491088	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
E182748	L2673346	0.063959809	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1047316	L3216370	0.014696401	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026786	M1026785	0.003869814	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1089118	M1089115	0.16170829	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
L2688692	M1108286	0.005096697	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
M1026700	M1026706	0.08550029	3PH_H-4_ACSR4_ACSR4_ACSR4_WPAL-ABC
