Line Segment Data	6400 items	feet
43-67	43-68	200	9
44-67	44-68	200	9
45-67	45-68	200	9
46-67	46-68	200	9
47-67	47-68	200	9
48-67	48-68	200	9
49-67	49-68	200	9
50-67	50-68	200	9
1-67	1-72	275	3
2-67	2-72	275	3
3-67	3-72	275	3
4-67	4-72	275	3
5-67	5-72	275	3
6-67	6-72	275	3
7-67	7-72	275	3
8-67	8-72	275	3
9-67	9-72	275	3
10-67	10-72	275	3
11-67	11-72	275	3
12-67	12-72	275	3
13-67	13-72	275	3
14-67	14-72	275	3
15-67	15-72	275	3
16-67	16-72	275	3
17-67	17-72	275	3
18-67	18-72	275	3
19-67	19-72	275	3
20-67	20-72	275	3
21-67	21-72	275	3
22-67	22-72	275	3
23-67	23-72	275	3
24-67	24-72	275	3
25-67	25-72	275	3
26-67	26-72	275	3
27-67	27-72	275	3
28-67	28-72	275	3
29-67	29-72	275	3
30-67	30-72	275	3
31-67	31-72	275	3
32-67	32-72	275	3
33-67	33-72	275	3
34-67	34-72	275	3
35-67	35-72	275	3
36-67	36-72	275	3
37-67	37-72	275	3
38-67	38-72	275	3
39-67	39-72	275	3
40-67	40-72	275	3
41-67	41-72	275	3
42-67	42-72	275	3
43-67	43-72	275	3
44-67	44-72	275	3
45-67	45-72	275	3
46-67	46-72	275	3
47-67	47-72	275	3
48-67	48-72	275	3
49-67	49-72	275	3
50-67	50-72	275	3
1-67	1-97	250	3
2-67	2-97	250	3
3-67	3-97	250	3
4-67	4-97	250	3
5-67	5-97	250	3
6-67	6-97	250	3
7-67	7-97	250	3
8-67	8-97	250	3
9-67	9-97	250	3
10-67	10-97	250	3
11-67	11-97	250	3
12-67	12-97	250	3
13-67	13-97	250	3
14-67	14-97	250	3
15-67	15-97	250	3
16-67	16-97	250	3
17-67	17-97	250	3
18-67	18-97	250	3
19-67	19-97	250	3
20-67	20-97	250	3
21-67	21-97	250	3
22-67	22-97	250	3
23-67	23-97	250	3
24-67	24-97	250	3
25-67	25-97	250	3
26-67	26-97	250	3
27-67	27-97	250	3
28-67	28-97	250	3
29-67	29-97	250	3
30-67	30-97	250	3
31-67	31-97	250	3
32-67	32-97	250	3
33-67	33-97	250	3
34-67	34-97	250	3
35-67	35-97	250	3
36-67	36-97	250	3
37-67	37-97	250	3
38-67	38-97	250	3
39-67	39-97	250	3
40-67	40-97	250	3
41-67	41-97	250	3
42-67	42-97	250	3
43-67	43-97	250	3
44-67	44-97	250	3
45-67	45-97	250	3
46-67	46-97	250	3
47-67	47-97	250	3
48-67	48-97	250	3
49-67	49-97	250	3
50-67	50-97	250	3
1-68	1-69	275	9
2-68	2-69	275	9
3-68	3-69	275	9
4-68	4-69	275	9
5-68	5-69	275	9
6-68	6-69	275	9
7-68	7-69	275	9
8-68	8-69	275	9
9-68	9-69	275	9
10-68	10-69	275	9
11-68	11-69	275	9
12-68	12-69	275	9
13-68	13-69	275	9
14-68	14-69	275	9
15-68	15-69	275	9
16-68	16-69	275	9
17-68	17-69	275	9
18-68	18-69	275	9
19-68	19-69	275	9
20-68	20-69	275	9
21-68	21-69	275	9
22-68	22-69	275	9
23-68	23-69	275	9
24-68	24-69	275	9
25-68	25-69	275	9
26-68	26-69	275	9
27-68	27-69	275	9
28-68	28-69	275	9
29-68	29-69	275	9
30-68	30-69	275	9
31-68	31-69	275	9
32-68	32-69	275	9
33-68	33-69	275	9
34-68	34-69	275	9
35-68	35-69	275	9
36-68	36-69	275	9
37-68	37-69	275	9
38-68	38-69	275	9
39-68	39-69	275	9
40-68	40-69	275	9
41-68	41-69	275	9
42-68	42-69	275	9
43-68	43-69	275	9
44-68	44-69	275	9
45-68	45-69	275	9
46-68	46-69	275	9
47-68	47-69	275	9
48-68	48-69	275	9
49-68	49-69	275	9
50-68	50-69	275	9
1-69	1-70	325	9
2-69	2-70	325	9
3-69	3-70	325	9
4-69	4-70	325	9
5-69	5-70	325	9
6-69	6-70	325	9
7-69	7-70	325	9
8-69	8-70	325	9
9-69	9-70	325	9
10-69	10-70	325	9
11-69	11-70	325	9
12-69	12-70	325	9
13-69	13-70	325	9
14-69	14-70	325	9
15-69	15-70	325	9
16-69	16-70	325	9
17-69	17-70	325	9
18-69	18-70	325	9
19-69	19-70	325	9
20-69	20-70	325	9
21-69	21-70	325	9
22-69	22-70	325	9
23-69	23-70	325	9
24-69	24-70	325	9
25-69	25-70	325	9
26-69	26-70	325	9
27-69	27-70	325	9
28-69	28-70	325	9
29-69	29-70	325	9
30-69	30-70	325	9
31-69	31-70	325	9
32-69	32-70	325	9
33-69	33-70	325	9
34-69	34-70	325	9
35-69	35-70	325	9
36-69	36-70	325	9
37-69	37-70	325	9
38-69	38-70	325	9
39-69	39-70	325	9
40-69	40-70	325	9
41-69	41-70	325	9
42-69	42-70	325	9
43-69	43-70	325	9
44-69	44-70	325	9
45-69	45-70	325	9
46-69	46-70	325	9
47-69	47-70	325	9
48-69	48-70	325	9
49-69	49-70	325	9
50-69	50-70	325	9
1-70	1-71	275	9
2-70	2-71	275	9
3-70	3-71	275	9
4-70	4-71	275	9
5-70	5-71	275	9
6-70	6-71	275	9
7-70	7-71	275	9
8-70	8-71	275	9
9-70	9-71	275	9
10-70	10-71	275	9
11-70	11-71	275	9
12-70	12-71	275	9
13-70	13-71	275	9
14-70	14-71	275	9
15-70	15-71	275	9
16-70	16-71	275	9
17-70	17-71	275	9
18-70	18-71	275	9
19-70	19-71	275	9
20-70	20-71	275	9
21-70	21-71	275	9
22-70	22-71	275	9
23-70	23-71	275	9
24-70	24-71	275	9
25-70	25-71	275	9
26-70	26-71	275	9
27-70	27-71	275	9
28-70	28-71	275	9
29-70	29-71	275	9
30-70	30-71	275	9
31-70	31-71	275	9
32-70	32-71	275	9
33-70	33-71	275	9
34-70	34-71	275	9
35-70	35-71	275	9
36-70	36-71	275	9
37-70	37-71	275	9
38-70	38-71	275	9
39-70	39-71	275	9
40-70	40-71	275	9
41-70	41-71	275	9
42-70	42-71	275	9
43-70	43-71	275	9
44-70	44-71	275	9
45-70	45-71	275	9
46-70	46-71	275	9
47-70	47-71	275	9
48-70	48-71	275	9
49-70	49-71	275	9
50-70	50-71	275	9
1-72	1-73	275	11
2-72	2-73	275	11
3-72	3-73	275	11
4-72	4-73	275	11
5-72	5-73	275	11
6-72	6-73	275	11
7-72	7-73	275	11
8-72	8-73	275	11
9-72	9-73	275	11
10-72	10-73	275	11
11-72	11-73	275	11
12-72	12-73	275	11
13-72	13-73	275	11
14-72	14-73	275	11
15-72	15-73	275	11
16-72	16-73	275	11
17-72	17-73	275	11
18-72	18-73	275	11
19-72	19-73	275	11
20-72	20-73	275	11
21-72	21-73	275	11
22-72	22-73	275	11
23-72	23-73	275	11
24-72	24-73	275	11
25-72	25-73	275	11
26-72	26-73	275	11
27-72	27-73	275	11
28-72	28-73	275	11
29-72	29-73	275	11
30-72	30-73	275	11
31-72	31-73	275	11
32-72	32-73	275	11
33-72	33-73	275	11
34-72	34-73	275	11
35-72	35-73	275	11
36-72	36-73	275	11
37-72	37-73	275	11
38-72	38-73	275	11
39-72	39-73	275	11
40-72	40-73	275	11
41-72	41-73	275	11
42-72	42-73	275	11
43-72	43-73	275	11
44-72	44-73	275	11
45-72	45-73	275	11
46-72	46-73	275	11
47-72	47-73	275	11
48-72	48-73	275	11
49-72	49-73	275	11
50-72	50-73	275	11
1-72	1-76	200	3
2-72	2-76	200	3
3-72	3-76	200	3
4-72	4-76	200	3
5-72	5-76	200	3
6-72	6-76	200	3
7-72	7-76	200	3
8-72	8-76	200	3
9-72	9-76	200	3
10-72	10-76	200	3
11-72	11-76	200	3
12-72	12-76	200	3
13-72	13-76	200	3
14-72	14-76	200	3
15-72	15-76	200	3
16-72	16-76	200	3
17-72	17-76	200	3
18-72	18-76	200	3
19-72	19-76	200	3
20-72	20-76	200	3
21-72	21-76	200	3
22-72	22-76	200	3
23-72	23-76	200	3
24-72	24-76	200	3
25-72	25-76	200	3
26-72	26-76	200	3
27-72	27-76	200	3
28-72	28-76	200	3
29-72	29-76	200	3
30-72	30-76	200	3
31-72	31-76	200	3
32-72	32-76	200	3
33-72	33-76	200	3
34-72	34-76	200	3
35-72	35-76	200	3
36-72	36-76	200	3
37-72	37-76	200	3
38-72	38-76	200	3
39-72	39-76	200	3
40-72	40-76	200	3
41-72	41-76	200	3
42-72	42-76	200	3
43-72	43-76	200	3
44-72	44-76	200	3
45-72	45-76	200	3
46-72	46-76	200	3
47-72	47-76	200	3
48-72	48-76	200	3
49-72	49-76	200	3
50-72	50-76	200	3
1-73	1-74	350	11
2-73	2-74	350	11
3-73	3-74	350	11
4-73	4-74	350	11
5-73	5-74	350	11
6-73	6-74	350	11
7-73	7-74	350	11
8-73	8-74	350	11
9-73	9-74	350	11
10-73	10-74	350	11
11-73	11-74	350	11
12-73	12-74	350	11
13-73	13-74	350	11
14-73	14-74	350	11
15-73	15-74	350	11
16-73	16-74	350	11
17-73	17-74	350	11
18-73	18-74	350	11
19-73	19-74	350	11
20-73	20-74	350	11
21-73	21-74	350	11
22-73	22-74	350	11
23-73	23-74	350	11
24-73	24-74	350	11
25-73	25-74	350	11
26-73	26-74	350	11
27-73	27-74	350	11
28-73	28-74	350	11
29-73	29-74	350	11
30-73	30-74	350	11
31-73	31-74	350	11
32-73	32-74	350	11
33-73	33-74	350	11
34-73	34-74	350	11
35-73	35-74	350	11
36-73	36-74	350	11
37-73	37-74	350	11
38-73	38-74	350	11
39-73	39-74	350	11
40-73	40-74	350	11
41-73	41-74	350	11
42-73	42-74	350	11
43-73	43-74	350	11
44-73	44-74	350	11
45-73	45-74	350	11
46-73	46-74	350	11
47-73	47-74	350	11
48-73	48-74	350	11
49-73	49-74	350	11
50-73	50-74	350	11
1-74	1-75	400	11
2-74	2-75	400	11
3-74	3-75	400	11
4-74	4-75	400	11
5-74	5-75	400	11
6-74	6-75	400	11
7-74	7-75	400	11
8-74	8-75	400	11
9-74	9-75	400	11
10-74	10-75	400	11
11-74	11-75	400	11
12-74	12-75	400	11
13-74	13-75	400	11
14-74	14-75	400	11
15-74	15-75	400	11
16-74	16-75	400	11
17-74	17-75	400	11
18-74	18-75	400	11
19-74	19-75	400	11
20-74	20-75	400	11
21-74	21-75	400	11
22-74	22-75	400	11
23-74	23-75	400	11
24-74	24-75	400	11
25-74	25-75	400	11
26-74	26-75	400	11
27-74	27-75	400	11
28-74	28-75	400	11
29-74	29-75	400	11
30-74	30-75	400	11
31-74	31-75	400	11
32-74	32-75	400	11
33-74	33-75	400	11
34-74	34-75	400	11
35-74	35-75	400	11
36-74	36-75	400	11
37-74	37-75	400	11
38-74	38-75	400	11
39-74	39-75	400	11
40-74	40-75	400	11
41-74	41-75	400	11
42-74	42-75	400	11
43-74	43-75	400	11
44-74	44-75	400	11
45-74	45-75	400	11
46-74	46-75	400	11
47-74	47-75	400	11
48-74	48-75	400	11
49-74	49-75	400	11
50-74	50-75	400	11
1-76	1-77	400	6
2-76	2-77	400	6
3-76	3-77	400	6
4-76	4-77	400	6
5-76	5-77	400	6
6-76	6-77	400	6
7-76	7-77	400	6
8-76	8-77	400	6
9-76	9-77	400	6
10-76	10-77	400	6
11-76	11-77	400	6
12-76	12-77	400	6
13-76	13-77	400	6
14-76	14-77	400	6
15-76	15-77	400	6
16-76	16-77	400	6
17-76	17-77	400	6
18-76	18-77	400	6
19-76	19-77	400	6
20-76	20-77	400	6
21-76	21-77	400	6
22-76	22-77	400	6
23-76	23-77	400	6
24-76	24-77	400	6
25-76	25-77	400	6
26-76	26-77	400	6
27-76	27-77	400	6
28-76	28-77	400	6
29-76	29-77	400	6
30-76	30-77	400	6
31-76	31-77	400	6
32-76	32-77	400	6
33-76	33-77	400	6
34-76	34-77	400	6
35-76	35-77	400	6
36-76	36-77	400	6
37-76	37-77	400	6
38-76	38-77	400	6
39-76	39-77	400	6
40-76	40-77	400	6
41-76	41-77	400	6
42-76	42-77	400	6
43-76	43-77	400	6
44-76	44-77	400	6
45-76	45-77	400	6
46-76	46-77	400	6
47-76	47-77	400	6
48-76	48-77	400	6
49-76	49-77	400	6
50-76	50-77	400	6
1-76	1-86	700	3
2-76	2-86	700	3
3-76	3-86	700	3
4-76	4-86	700	3
5-76	5-86	700	3
6-76	6-86	700	3
7-76	7-86	700	3
8-76	8-86	700	3
9-76	9-86	700	3
10-76	10-86	700	3
11-76	11-86	700	3
12-76	12-86	700	3
13-76	13-86	700	3
14-76	14-86	700	3
15-76	15-86	700	3
16-76	16-86	700	3
17-76	17-86	700	3
18-76	18-86	700	3
19-76	19-86	700	3
20-76	20-86	700	3
21-76	21-86	700	3
22-76	22-86	700	3
23-76	23-86	700	3
24-76	24-86	700	3
25-76	25-86	700	3
26-76	26-86	700	3
27-76	27-86	700	3
28-76	28-86	700	3
29-76	29-86	700	3
30-76	30-86	700	3
31-76	31-86	700	3
32-76	32-86	700	3
33-76	33-86	700	3
34-76	34-86	700	3
35-76	35-86	700	3
36-76	36-86	700	3
37-76	37-86	700	3
38-76	38-86	700	3
39-76	39-86	700	3
40-76	40-86	700	3
41-76	41-86	700	3
42-76	42-86	700	3
43-76	43-86	700	3
44-76	44-86	700	3
45-76	45-86	700	3
46-76	46-86	700	3
47-76	47-86	700	3
48-76	48-86	700	3
49-76	49-86	700	3
50-76	50-86	700	3
1-77	1-78	100	6
2-77	2-78	100	6
3-77	3-78	100	6
4-77	4-78	100	6
5-77	5-78	100	6
6-77	6-78	100	6
7-77	7-78	100	6
8-77	8-78	100	6
9-77	9-78	100	6
10-77	10-78	100	6
11-77	11-78	100	6
12-77	12-78	100	6
13-77	13-78	100	6
14-77	14-78	100	6
15-77	15-78	100	6
16-77	16-78	100	6
17-77	17-78	100	6
18-77	18-78	100	6
19-77	19-78	100	6
20-77	20-78	100	6
21-77	21-78	100	6
22-77	22-78	100	6
23-77	23-78	100	6
24-77	24-78	100	6
25-77	25-78	100	6
26-77	26-78	100	6
27-77	27-78	100	6
28-77	28-78	100	6
29-77	29-78	100	6
30-77	30-78	100	6
31-77	31-78	100	6
32-77	32-78	100	6
33-77	33-78	100	6
34-77	34-78	100	6
35-77	35-78	100	6
36-77	36-78	100	6
37-77	37-78	100	6
38-77	38-78	100	6
39-77	39-78	100	6
40-77	40-78	100	6
41-77	41-78	100	6
42-77	42-78	100	6
43-77	43-78	100	6
44-77	44-78	100	6
45-77	45-78	100	6
46-77	46-78	100	6
47-77	47-78	100	6
48-77	48-78	100	6
49-77	49-78	100	6
50-77	50-78	100	6
1-78	1-79	225	6
2-78	2-79	225	6
3-78	3-79	225	6
4-78	4-79	225	6
5-78	5-79	225	6
6-78	6-79	225	6
7-78	7-79	225	6
8-78	8-79	225	6
9-78	9-79	225	6
10-78	10-79	225	6
11-78	11-79	225	6
12-78	12-79	225	6
13-78	13-79	225	6
14-78	14-79	225	6
15-78	15-79	225	6
16-78	16-79	225	6
17-78	17-79	225	6
18-78	18-79	225	6
19-78	19-79	225	6
20-78	20-79	225	6
21-78	21-79	225	6
22-78	22-79	225	6
23-78	23-79	225	6
24-78	24-79	225	6
25-78	25-79	225	6
26-78	26-79	225	6
27-78	27-79	225	6
28-78	28-79	225	6
29-78	29-79	225	6
30-78	30-79	225	6
31-78	31-79	225	6
32-78	32-79	225	6
33-78	33-79	225	6
34-78	34-79	225	6
35-78	35-79	225	6
36-78	36-79	225	6
37-78	37-79	225	6
38-78	38-79	225	6
39-78	39-79	225	6
40-78	40-79	225	6
41-78	41-79	225	6
42-78	42-79	225	6
43-78	43-79	225	6
44-78	44-79	225	6
45-78	45-79	225	6
46-78	46-79	225	6
47-78	47-79	225	6
48-78	48-79	225	6
49-78	49-79	225	6
50-78	50-79	225	6
1-78	1-80	475	6
2-78	2-80	475	6
3-78	3-80	475	6
4-78	4-80	475	6
5-78	5-80	475	6
6-78	6-80	475	6
7-78	7-80	475	6
8-78	8-80	475	6
9-78	9-80	475	6
10-78	10-80	475	6
11-78	11-80	475	6
12-78	12-80	475	6
13-78	13-80	475	6
14-78	14-80	475	6
15-78	15-80	475	6
16-78	16-80	475	6
17-78	17-80	475	6
18-78	18-80	475	6
19-78	19-80	475	6
20-78	20-80	475	6
21-78	21-80	475	6
22-78	22-80	475	6
23-78	23-80	475	6
24-78	24-80	475	6
25-78	25-80	475	6
26-78	26-80	475	6
27-78	27-80	475	6
28-78	28-80	475	6
29-78	29-80	475	6
30-78	30-80	475	6
31-78	31-80	475	6
32-78	32-80	475	6
33-78	33-80	475	6
34-78	34-80	475	6
35-78	35-80	475	6
36-78	36-80	475	6
37-78	37-80	475	6
38-78	38-80	475	6
39-78	39-80	475	6
40-78	40-80	475	6
41-78	41-80	475	6
42-78	42-80	475	6
43-78	43-80	475	6
44-78	44-80	475	6
45-78	45-80	475	6
46-78	46-80	475	6
47-78	47-80	475	6
48-78	48-80	475	6
49-78	49-80	475	6
50-78	50-80	475	6
1-80	1-81	475	6
2-80	2-81	475	6
3-80	3-81	475	6
4-80	4-81	475	6
5-80	5-81	475	6
6-80	6-81	475	6
7-80	7-81	475	6
8-80	8-81	475	6
9-80	9-81	475	6
10-80	10-81	475	6
11-80	11-81	475	6
12-80	12-81	475	6
13-80	13-81	475	6
14-80	14-81	475	6
15-80	15-81	475	6
16-80	16-81	475	6
17-80	17-81	475	6
18-80	18-81	475	6
19-80	19-81	475	6
20-80	20-81	475	6
21-80	21-81	475	6
22-80	22-81	475	6
23-80	23-81	475	6
24-80	24-81	475	6
25-80	25-81	475	6
26-80	26-81	475	6
27-80	27-81	475	6
28-80	28-81	475	6
29-80	29-81	475	6
30-80	30-81	475	6
31-80	31-81	475	6
32-80	32-81	475	6
33-80	33-81	475	6
34-80	34-81	475	6
35-80	35-81	475	6
36-80	36-81	475	6
37-80	37-81	475	6
38-80	38-81	475	6
39-80	39-81	475	6
40-80	40-81	475	6
41-80	41-81	475	6
42-80	42-81	475	6
43-80	43-81	475	6
44-80	44-81	475	6
45-80	45-81	475	6
46-80	46-81	475	6
47-80	47-81	475	6
48-80	48-81	475	6
49-80	49-81	475	6
50-80	50-81	475	6
1-81	1-82	250	6
2-81	2-82	250	6
3-81	3-82	250	6
4-81	4-82	250	6
5-81	5-82	250	6
6-81	6-82	250	6
7-81	7-82	250	6
8-81	8-82	250	6
9-81	9-82	250	6
10-81	10-82	250	6
11-81	11-82	250	6
12-81	12-82	250	6
13-81	13-82	250	6
14-81	14-82	250	6
15-81	15-82	250	6
16-81	16-82	250	6
17-81	17-82	250	6
18-81	18-82	250	6
19-81	19-82	250	6
20-81	20-82	250	6
21-81	21-82	250	6
22-81	22-82	250	6
23-81	23-82	250	6
24-81	24-82	250	6
25-81	25-82	250	6
26-81	26-82	250	6
27-81	27-82	250	6
28-81	28-82	250	6
29-81	29-82	250	6
30-81	30-82	250	6
31-81	31-82	250	6
32-81	32-82	250	6
33-81	33-82	250	6
34-81	34-82	250	6
35-81	35-82	250	6
36-81	36-82	250	6
37-81	37-82	250	6
38-81	38-82	250	6
39-81	39-82	250	6
40-81	40-82	250	6
41-81	41-82	250	6
42-81	42-82	250	6
43-81	43-82	250	6
44-81	44-82	250	6
45-81	45-82	250	6
46-81	46-82	250	6
47-81	47-82	250	6
48-81	48-82	250	6
49-81	49-82	250	6
50-81	50-82	250	6
1-81	1-84	675	11
2-81	2-84	675	11
3-81	3-84	675	11
4-81	4-84	675	11
5-81	5-84	675	11
6-81	6-84	675	11
7-81	7-84	675	11
8-81	8-84	675	11
9-81	9-84	675	11
10-81	10-84	675	11
11-81	11-84	675	11
12-81	12-84	675	11
13-81	13-84	675	11
14-81	14-84	675	11
15-81	15-84	675	11
16-81	16-84	675	11
17-81	17-84	675	11
18-81	18-84	675	11
19-81	19-84	675	11
20-81	20-84	675	11
21-81	21-84	675	11
22-81	22-84	675	11
23-81	23-84	675	11
24-81	24-84	675	11
25-81	25-84	675	11
26-81	26-84	675	11
27-81	27-84	675	11
28-81	28-84	675	11
29-81	29-84	675	11
30-81	30-84	675	11
31-81	31-84	675	11
32-81	32-84	675	11
33-81	33-84	675	11
34-81	34-84	675	11
35-81	35-84	675	11
36-81	36-84	675	11
37-81	37-84	675	11
38-81	38-84	675	11
39-81	39-84	675	11
40-81	40-84	675	11
41-81	41-84	675	11
42-81	42-84	675	11
43-81	43-84	675	11
44-81	44-84	675	11
45-81	45-84	675	11
46-81	46-84	675	11
47-81	47-84	675	11
48-81	48-84	675	11
49-81	49-84	675	11
50-81	50-84	675	11
1-82	1-83	250	6
2-82	2-83	250	6
3-82	3-83	250	6
4-82	4-83	250	6
5-82	5-83	250	6
6-82	6-83	250	6
7-82	7-83	250	6
8-82	8-83	250	6
9-82	9-83	250	6
10-82	10-83	250	6
11-82	11-83	250	6
12-82	12-83	250	6
13-82	13-83	250	6
14-82	14-83	250	6
15-82	15-83	250	6
16-82	16-83	250	6
17-82	17-83	250	6
18-82	18-83	250	6
19-82	19-83	250	6
20-82	20-83	250	6
21-82	21-83	250	6
22-82	22-83	250	6
23-82	23-83	250	6
24-82	24-83	250	6
25-82	25-83	250	6
26-82	26-83	250	6
27-82	27-83	250	6
28-82	28-83	250	6
29-82	29-83	250	6
30-82	30-83	250	6
31-82	31-83	250	6
32-82	32-83	250	6
33-82	33-83	250	6
34-82	34-83	250	6
35-82	35-83	250	6
36-82	36-83	250	6
37-82	37-83	250	6
38-82	38-83	250	6
39-82	39-83	250	6
40-82	40-83	250	6
41-82	41-83	250	6
42-82	42-83	250	6
43-82	43-83	250	6
44-82	44-83	250	6
45-82	45-83	250	6
46-82	46-83	250	6
47-82	47-83	250	6
48-82	48-83	250	6
49-82	49-83	250	6
50-82	50-83	250	6
1-84	1-85	475	11
2-84	2-85	475	11
3-84	3-85	475	11
4-84	4-85	475	11
5-84	5-85	475	11
6-84	6-85	475	11
7-84	7-85	475	11
8-84	8-85	475	11
9-84	9-85	475	11
10-84	10-85	475	11
11-84	11-85	475	11
12-84	12-85	475	11
13-84	13-85	475	11
14-84	14-85	475	11
15-84	15-85	475	11
16-84	16-85	475	11
17-84	17-85	475	11
18-84	18-85	475	11
19-84	19-85	475	11
20-84	20-85	475	11
21-84	21-85	475	11
22-84	22-85	475	11
23-84	23-85	475	11
24-84	24-85	475	11
25-84	25-85	475	11
26-84	26-85	475	11
27-84	27-85	475	11
28-84	28-85	475	11
29-84	29-85	475	11
30-84	30-85	475	11
31-84	31-85	475	11
32-84	32-85	475	11
33-84	33-85	475	11
34-84	34-85	475	11
35-84	35-85	475	11
36-84	36-85	475	11
37-84	37-85	475	11
38-84	38-85	475	11
39-84	39-85	475	11
40-84	40-85	475	11
41-84	41-85	475	11
42-84	42-85	475	11
43-84	43-85	475	11
44-84	44-85	475	11
45-84	45-85	475	11
46-84	46-85	475	11
47-84	47-85	475	11
48-84	48-85	475	11
49-84	49-85	475	11
50-84	50-85	475	11
1-86	1-87	450	6
2-86	2-87	450	6
3-86	3-87	450	6
4-86	4-87	450	6
5-86	5-87	450	6
6-86	6-87	450	6
7-86	7-87	450	6
8-86	8-87	450	6
9-86	9-87	450	6
10-86	10-87	450	6
11-86	11-87	450	6
12-86	12-87	450	6
13-86	13-87	450	6
14-86	14-87	450	6
15-86	15-87	450	6
16-86	16-87	450	6
17-86	17-87	450	6
18-86	18-87	450	6
19-86	19-87	450	6
20-86	20-87	450	6
21-86	21-87	450	6
22-86	22-87	450	6
23-86	23-87	450	6
24-86	24-87	450	6
25-86	25-87	450	6
26-86	26-87	450	6
27-86	27-87	450	6
28-86	28-87	450	6
29-86	29-87	450	6
30-86	30-87	450	6
31-86	31-87	450	6
32-86	32-87	450	6
33-86	33-87	450	6
34-86	34-87	450	6
35-86	35-87	450	6
36-86	36-87	450	6
37-86	37-87	450	6
38-86	38-87	450	6
39-86	39-87	450	6
40-86	40-87	450	6
41-86	41-87	450	6
42-86	42-87	450	6
43-86	43-87	450	6
44-86	44-87	450	6
45-86	45-87	450	6
46-86	46-87	450	6
47-86	47-87	450	6
48-86	48-87	450	6
49-86	49-87	450	6
50-86	50-87	450	6
1-87	1-88	175	9
2-87	2-88	175	9
3-87	3-88	175	9
4-87	4-88	175	9
5-87	5-88	175	9
6-87	6-88	175	9
7-87	7-88	175	9
8-87	8-88	175	9
9-87	9-88	175	9
10-87	10-88	175	9
11-87	11-88	175	9
12-87	12-88	175	9
13-87	13-88	175	9
14-87	14-88	175	9
15-87	15-88	175	9
16-87	16-88	175	9
17-87	17-88	175	9
18-87	18-88	175	9
19-87	19-88	175	9
20-87	20-88	175	9
21-87	21-88	175	9
22-87	22-88	175	9
23-87	23-88	175	9
24-87	24-88	175	9
25-87	25-88	175	9
26-87	26-88	175	9
27-87	27-88	175	9
28-87	28-88	175	9
29-87	29-88	175	9
30-87	30-88	175	9
31-87	31-88	175	9
32-87	32-88	175	9
33-87	33-88	175	9
34-87	34-88	175	9
35-87	35-88	175	9
36-87	36-88	175	9
37-87	37-88	175	9
38-87	38-88	175	9
39-87	39-88	175	9
40-87	40-88	175	9
41-87	41-88	175	9
42-87	42-88	175	9
43-87	43-88	175	9
44-87	44-88	175	9
45-87	45-88	175	9
46-87	46-88	175	9
47-87	47-88	175	9
48-87	48-88	175	9
49-87	49-88	175	9
50-87	50-88	175	9
1-87	1-89	275	6
2-87	2-89	275	6
3-87	3-89	275	6
4-87	4-89	275	6
5-87	5-89	275	6
6-87	6-89	275	6
7-87	7-89	275	6
8-87	8-89	275	6
9-87	9-89	275	6
10-87	10-89	275	6
11-87	11-89	275	6
12-87	12-89	275	6
13-87	13-89	275	6
14-87	14-89	275	6
15-87	15-89	275	6
16-87	16-89	275	6
17-87	17-89	275	6
18-87	18-89	275	6
19-87	19-89	275	6
20-87	20-89	275	6
21-87	21-89	275	6
22-87	22-89	275	6
23-87	23-89	275	6
24-87	24-89	275	6
25-87	25-89	275	6
26-87	26-89	275	6
27-87	27-89	275	6
28-87	28-89	275	6
29-87	29-89	275	6
30-87	30-89	275	6
31-87	31-89	275	6
32-87	32-89	275	6
33-87	33-89	275	6
34-87	34-89	275	6
35-87	35-89	275	6
36-87	36-89	275	6
37-87	37-89	275	6
38-87	38-89	275	6
39-87	39-89	275	6
40-87	40-89	275	6
41-87	41-89	275	6
42-87	42-89	275	6
43-87	43-89	275	6
44-87	44-89	275	6
45-87	45-89	275	6
46-87	46-89	275	6
47-87	47-89	275	6
48-87	48-89	275	6
49-87	49-89	275	6
50-87	50-89	275	6
1-89	1-90	225	10
2-89	2-90	225	10
3-89	3-90	225	10
4-89	4-90	225	10
5-89	5-90	225	10
6-89	6-90	225	10
7-89	7-90	225	10
8-89	8-90	225	10
9-89	9-90	225	10
10-89	10-90	225	10
11-89	11-90	225	10
12-89	12-90	225	10
13-89	13-90	225	10
14-89	14-90	225	10
15-89	15-90	225	10
16-89	16-90	225	10
17-89	17-90	225	10
18-89	18-90	225	10
19-89	19-90	225	10
20-89	20-90	225	10
21-89	21-90	225	10
22-89	22-90	225	10
23-89	23-90	225	10
24-89	24-90	225	10
25-89	25-90	225	10
26-89	26-90	225	10
27-89	27-90	225	10
28-89	28-90	225	10
29-89	29-90	225	10
30-89	30-90	225	10
31-89	31-90	225	10
32-89	32-90	225	10
33-89	33-90	225	10
34-89	34-90	225	10
35-89	35-90	225	10
36-89	36-90	225	10
37-89	37-90	225	10
38-89	38-90	225	10
39-89	39-90	225	10
40-89	40-90	225	10
41-89	41-90	225	10
42-89	42-90	225	10
43-89	43-90	225	10
44-89	44-90	225	10
45-89	45-90	225	10
46-89	46-90	225	10
47-89	47-90	225	10
48-89	48-90	225	10
49-89	49-90	225	10
50-89	50-90	225	10
1-89	1-91	225	6
2-89	2-91	225	6
3-89	3-91	225	6
4-89	4-91	225	6
5-89	5-91	225	6
6-89	6-91	225	6
7-89	7-91	225	6
