Line Segment Data	12800 items	feet
95-50	95-51	250	4
96-50	96-51	250	4
97-50	97-51	250	4
98-50	98-51	250	4
99-50	99-51	250	4
100-50	100-51	250	4
1-52	1-53	200	1
2-52	2-53	200	1
3-52	3-53	200	1
4-52	4-53	200	1
5-52	5-53	200	1
6-52	6-53	200	1
7-52	7-53	200	1
8-52	8-53	200	1
9-52	9-53	200	1
10-52	10-53	200	1
11-52	11-53	200	1
12-52	12-53	200	1
13-52	13-53	200	1
14-52	14-53	200	1
15-52	15-53	200	1
16-52	16-53	200	1
17-52	17-53	200	1
18-52	18-53	200	1
19-52	19-53	200	1
20-52	20-53	200	1
21-52	21-53	200	1
22-52	22-53	200	1
23-52	23-53	200	1
24-52	24-53	200	1
25-52	25-53	200	1
26-52	26-53	200	1
27-52	27-53	200	1
28-52	28-53	200	1
29-52	29-53	200	1
30-52	30-53	200	1
31-52	31-53	200	1
32-52	32-53	200	1
33-52	33-53	200	1
34-52	34-53	200	1
35-52	35-53	200	1
36-52	36-53	200	1
37-52	37-53	200	1
38-52	38-53	200	1
39-52	39-53	200	1
40-52	40-53	200	1
41-52	41-53	200	1
42-52	42-53	200	1
43-52	43-53	200	1
44-52	44-53	200	1
45-52	45-53	200	1
46-52	46-53	200	1
47-52	47-53	200	1
48-52	48-53	200	1
49-52	49-53	200	1
50-52	50-53	200	1
51-52	51-53	200	1
52-52	52-53	200	1
53-52	53-53	200	1
54-52	54-53	200	1
55-52	55-53	200	1
56-52	56-53	200	1
57-52	57-53	200	1
58-52	58-53	200	1
59-52	59-53	200	1
60-52	60-53	200	1
61-52	61-53	200	1
62-52	62-53	200	1
63-52	63-53	200	1
64-52	64-53	200	1
65-52	65-53	200	1
66-52	66-53	200	1
67-52	67-53	200	1
68-52	68-53	200	1
69-52	69-53	200	1
70-52	70-53	200	1
71-52	71-53	200	1
72-52	72-53	200	1
73-52	73-53	200	1
74-52	74-53	200	1
75-52	75-53	200	1
76-52	76-53	200	1
77-52	77-53	200	1
78-52	78-53	200	1
79-52	79-53	200	1
80-52	80-53	200	1
81-52	81-53	200	1
82-52	82-53	200	1
83-52	83-53	200	1
84-52	84-53	200	1
85-52	85-53	200	1
86-52	86-53	200	1
87-52	87-53	200	1
88-52	88-53	200	1
89-52	89-53	200	1
90-52	90-53	200	1
91-52	91-53	200	1
92-52	92-53	200	1
93-52	93-53	200	1
94-52	94-53	200	1
95-52	95-53	200	1
96-52	96-53	200	1
97-52	97-53	200	1
98-52	98-53	200	1
99-52	99-53	200	1
100-52	100-53	200	1
1-53	1-54	125	1
2-53	2-54	125	1
3-53	3-54	125	1
4-53	4-54	125	1
5-53	5-54	125	1
6-53	6-54	125	1
7-53	7-54	125	1
8-53	8-54	125	1
9-53	9-54	125	1
10-53	10-54	125	1
11-53	11-54	125	1
12-53	12-54	125	1
13-53	13-54	125	1
14-53	14-54	125	1
15-53	15-54	125	1
16-53	16-54	125	1
17-53	17-54	125	1
18-53	18-54	125	1
19-53	19-54	125	1
20-53	20-54	125	1
21-53	21-54	125	1
22-53	22-54	125	1
23-53	23-54	125	1
24-53	24-54	125	1
25-53	25-54	125	1
26-53	26-54	125	1
27-53	27-54	125	1
28-53	28-54	125	1
29-53	29-54	125	1
30-53	30-54	125	1
31-53	31-54	125	1
32-53	32-54	125	1
33-53	33-54	125	1
34-53	34-54	125	1
35-53	35-54	125	1
36-53	36-54	125	1
37-53	37-54	125	1
38-53	38-54	125	1
39-53	39-54	125	1
40-53	40-54	125	1
41-53	41-54	125	1
42-53	42-54	125	1
43-53	43-54	125	1
44-53	44-54	125	1
45-53	45-54	125	1
46-53	46-54	125	1
47-53	47-54	125	1
48-53	48-54	125	1
49-53	49-54	125	1
50-53	50-54	125	1
51-53	51-54	125	1
52-53	52-54	125	1
53-53	53-54	125	1
54-53	54-54	125	1
55-53	55-54	125	1
56-53	56-54	125	1
57-53	57-54	125	1
58-53	58-54	125	1
59-53	59-54	125	1
60-53	60-54	125	1
61-53	61-54	125	1
62-53	62-54	125	1
63-53	63-54	125	1
64-53	64-54	125	1
65-53	65-54	125	1
66-53	66-54	125	1
67-53	67-54	125	1
68-53	68-54	125	1
69-53	69-54	125	1
70-53	70-54	125	1
71-53	71-54	125	1
72-53	72-54	125	1
73-53	73-54	125	1
74-53	74-54	125	1
75-53	75-54	125	1
76-53	76-54	125	1
77-53	77-54	125	1
78-53	78-54	125	1
79-53	79-54	125	1
80-53	80-54	125	1
81-53	81-54	125	1
82-53	82-54	125	1
83-53	83-54	125	1
84-53	84-54	125	1
85-53	85-54	125	1
86-53	86-54	125	1
87-53	87-54	125	1
88-53	88-54	125	1
89-53	89-54	125	1
90-53	90-54	125	1
91-53	91-54	125	1
92-53	92-54	125	1
93-53	93-54	125	1
94-53	94-54	125	1
95-53	95-54	125	1
96-53	96-54	125	1
97-53	97-54	125	1
98-53	98-54	125	1
99-53	99-54	125	1
100-53	100-54	125	1
1-54	1-55	275	1
2-54	2-55	275	1
3-54	3-55	275	1
4-54	4-55	275	1
5-54	5-55	275	1
6-54	6-55	275	1
7-54	7-55	275	1
8-54	8-55	275	1
9-54	9-55	275	1
10-54	10-55	275	1
11-54	11-55	275	1
12-54	12-55	275	1
13-54	13-55	275	1
14-54	14-55	275	1
15-54	15-55	275	1
16-54	16-55	275	1
17-54	17-55	275	1
18-54	18-55	275	1
19-54	19-55	275	1
20-54	20-55	275	1
21-54	21-55	275	1
22-54	22-55	275	1
23-54	23-55	275	1
24-54	24-55	275	1
25-54	25-55	275	1
26-54	26-55	275	1
27-54	27-55	275	1
28-54	28-55	275	1
29-54	29-55	275	1
30-54	30-55	275	1
31-54	31-55	275	1
32-54	32-55	275	1
33-54	33-55	275	1
34-54	34-55	275	1
35-54	35-55	275	1
36-54	36-55	275	1
37-54	37-55	275	1
38-54	38-55	275	1
39-54	39-55	275	1
40-54	40-55	275	1
41-54	41-55	275	1
42-54	42-55	275	1
43-54	43-55	275	1
44-54	44-55	275	1
45-54	45-55	275	1
46-54	46-55	275	1
47-54	47-55	275	1
48-54	48-55	275	1
49-54	49-55	275	1
50-54	50-55	275	1
51-54	51-55	275	1
52-54	52-55	275	1
53-54	53-55	275	1
54-54	54-55	275	1
55-54	55-55	275	1
56-54	56-55	275	1
57-54	57-55	275	1
58-54	58-55	275	1
59-54	59-55	275	1
60-54	60-55	275	1
61-54	61-55	275	1
62-54	62-55	275	1
63-54	63-55	275	1
64-54	64-55	275	1
65-54	65-55	275	1
66-54	66-55	275	1
67-54	67-55	275	1
68-54	68-55	275	1
69-54	69-55	275	1
70-54	70-55	275	1
71-54	71-55	275	1
72-54	72-55	275	1
73-54	73-55	275	1
74-54	74-55	275	1
75-54	75-55	275	1
76-54	76-55	275	1
77-54	77-55	275	1
78-54	78-55	275	1
79-54	79-55	275	1
80-54	80-55	275	1
81-54	81-55	275	1
82-54	82-55	275	1
83-54	83-55	275	1
84-54	84-55	275	1
85-54	85-55	275	1
86-54	86-55	275	1
87-54	87-55	275	1
88-54	88-55	275	1
89-54	89-55	275	1
90-54	90-55	275	1
91-54	91-55	275	1
92-54	92-55	275	1
93-54	93-55	275	1
94-54	94-55	275	1
95-54	95-55	275	1
96-54	96-55	275	1
97-54	97-55	275	1
98-54	98-55	275	1
99-54	99-55	275	1
100-54	100-55	275	1
1-54	1-57	350	3
2-54	2-57	350	3
3-54	3-57	350	3
4-54	4-57	350	3
5-54	5-57	350	3
6-54	6-57	350	3
7-54	7-57	350	3
8-54	8-57	350	3
9-54	9-57	350	3
10-54	10-57	350	3
11-54	11-57	350	3
12-54	12-57	350	3
13-54	13-57	350	3
14-54	14-57	350	3
15-54	15-57	350	3
16-54	16-57	350	3
17-54	17-57	350	3
18-54	18-57	350	3
19-54	19-57	350	3
20-54	20-57	350	3
21-54	21-57	350	3
22-54	22-57	350	3
23-54	23-57	350	3
24-54	24-57	350	3
25-54	25-57	350	3
26-54	26-57	350	3
27-54	27-57	350	3
28-54	28-57	350	3
29-54	29-57	350	3
30-54	30-57	350	3
31-54	31-57	350	3
32-54	32-57	350	3
33-54	33-57	350	3
34-54	34-57	350	3
35-54	35-57	350	3
36-54	36-57	350	3
37-54	37-57	350	3
38-54	38-57	350	3
39-54	39-57	350	3
40-54	40-57	350	3
41-54	41-57	350	3
42-54	42-57	350	3
43-54	43-57	350	3
44-54	44-57	350	3
45-54	45-57	350	3
46-54	46-57	350	3
47-54	47-57	350	3
48-54	48-57	350	3
49-54	49-57	350	3
50-54	50-57	350	3
51-54	51-57	350	3
52-54	52-57	350	3
53-54	53-57	350	3
54-54	54-57	350	3
55-54	55-57	350	3
56-54	56-57	350	3
57-54	57-57	350	3
58-54	58-57	350	3
59-54	59-57	350	3
60-54	60-57	350	3
61-54	61-57	350	3
62-54	62-57	350	3
63-54	63-57	350	3
64-54	64-57	350	3
65-54	65-57	350	3
66-54	66-57	350	3
67-54	67-57	350	3
68-54	68-57	350	3
69-54	69-57	350	3
70-54	70-57	350	3
71-54	71-57	350	3
72-54	72-57	350	3
73-54	73-57	350	3
74-54	74-57	350	3
75-54	75-57	350	3
76-54	76-57	350	3
77-54	77-57	350	3
78-54	78-57	350	3
79-54	79-57	350	3
80-54	80-57	350	3
81-54	81-57	350	3
82-54	82-57	350	3
83-54	83-57	350	3
84-54	84-57	350	3
85-54	85-57	350	3
86-54	86-57	350	3
87-54	87-57	350	3
88-54	88-57	350	3
89-54	89-57	350	3
90-54	90-57	350	3
91-54	91-57	350	3
92-54	92-57	350	3
93-54	93-57	350	3
94-54	94-57	350	3
95-54	95-57	350	3
96-54	96-57	350	3
97-54	97-57	350	3
98-54	98-57	350	3
99-54	99-57	350	3
100-54	100-57	350	3
1-55	1-56	275	1
2-55	2-56	275	1
3-55	3-56	275	1
4-55	4-56	275	1
5-55	5-56	275	1
6-55	6-56	275	1
7-55	7-56	275	1
8-55	8-56	275	1
9-55	9-56	275	1
10-55	10-56	275	1
11-55	11-56	275	1
12-55	12-56	275	1
13-55	13-56	275	1
14-55	14-56	275	1
15-55	15-56	275	1
16-55	16-56	275	1
17-55	17-56	275	1
18-55	18-56	275	1
19-55	19-56	275	1
20-55	20-56	275	1
21-55	21-56	275	1
22-55	22-56	275	1
23-55	23-56	275	1
24-55	24-56	275	1
25-55	25-56	275	1
26-55	26-56	275	1
27-55	27-56	275	1
28-55	28-56	275	1
29-55	29-56	275	1
30-55	30-56	275	1
31-55	31-56	275	1
32-55	32-56	275	1
33-55	33-56	275	1
34-55	34-56	275	1
35-55	35-56	275	1
36-55	36-56	275	1
37-55	37-56	275	1
38-55	38-56	275	1
39-55	39-56	275	1
40-55	40-56	275	1
41-55	41-56	275	1
42-55	42-56	275	1
43-55	43-56	275	1
44-55	44-56	275	1
45-55	45-56	275	1
46-55	46-56	275	1
47-55	47-56	275	1
48-55	48-56	275	1
49-55	49-56	275	1
50-55	50-56	275	1
51-55	51-56	275	1
52-55	52-56	275	1
53-55	53-56	275	1
54-55	54-56	275	1
55-55	55-56	275	1
56-55	56-56	275	1
57-55	57-56	275	1
58-55	58-56	275	1
59-55	59-56	275	1
60-55	60-56	275	1
61-55	61-56	275	1
62-55	62-56	275	1
63-55	63-56	275	1
64-55	64-56	275	1
65-55	65-56	275	1
66-55	66-56	275	1
67-55	67-56	275	1
68-55	68-56	275	1
69-55	69-56	275	1
70-55	70-56	275	1
71-55	71-56	275	1
72-55	72-56	275	1
73-55	73-56	275	1
74-55	74-56	275	1
75-55	75-56	275	1
76-55	76-56	275	1
77-55	77-56	275	1
78-55	78-56	275	1
79-55	79-56	275	1
80-55	80-56	275	1
81-55	81-56	275	1
82-55	82-56	275	1
83-55	83-56	275	1
84-55	84-56	275	1
85-55	85-56	275	1
86-55	86-56	275	1
87-55	87-56	275	1
88-55	88-56	275	1
89-55	89-56	275	1
90-55	90-56	275	1
91-55	91-56	275	1
92-55	92-56	275	1
93-55	93-56	275	1
94-55	94-56	275	1
95-55	95-56	275	1
96-55	96-56	275	1
97-55	97-56	275	1
98-55	98-56	275	1
99-55	99-56	275	1
100-55	100-56	275	1
1-57	1-58	250	10
2-57	2-58	250	10
3-57	3-58	250	10
4-57	4-58	250	10
5-57	5-58	250	10
6-57	6-58	250	10
7-57	7-58	250	10
8-57	8-58	250	10
9-57	9-58	250	10
10-57	10-58	250	10
11-57	11-58	250	10
12-57	12-58	250	10
13-57	13-58	250	10
14-57	14-58	250	10
15-57	15-58	250	10
16-57	16-58	250	10
17-57	17-58	250	10
18-57	18-58	250	10
19-57	19-58	250	10
20-57	20-58	250	10
21-57	21-58	250	10
22-57	22-58	250	10
23-57	23-58	250	10
24-57	24-58	250	10
25-57	25-58	250	10
26-57	26-58	250	10
27-57	27-58	250	10
28-57	28-58	250	10
29-57	29-58	250	10
30-57	30-58	250	10
31-57	31-58	250	10
32-57	32-58	250	10
33-57	33-58	250	10
34-57	34-58	250	10
35-57	35-58	250	10
36-57	36-58	250	10
37-57	37-58	250	10
38-57	38-58	250	10
39-57	39-58	250	10
40-57	40-58	250	10
41-57	41-58	250	10
42-57	42-58	250	10
43-57	43-58	250	10
44-57	44-58	250	10
45-57	45-58	250	10
46-57	46-58	250	10
47-57	47-58	250	10
48-57	48-58	250	10
49-57	49-58	250	10
50-57	50-58	250	10
51-57	51-58	250	10
52-57	52-58	250	10
53-57	53-58	250	10
54-57	54-58	250	10
55-57	55-58	250	10
56-57	56-58	250	10
57-57	57-58	250	10
58-57	58-58	250	10
59-57	59-58	250	10
60-57	60-58	250	10
61-57	61-58	250	10
62-57	62-58	250	10
63-57	63-58	250	10
64-57	64-58	250	10
65-57	65-58	250	10
66-57	66-58	250	10
67-57	67-58	250	10
68-57	68-58	250	10
69-57	69-58	250	10
70-57	70-58	250	10
71-57	71-58	250	10
72-57	72-58	250	10
73-57	73-58	250	10
74-57	74-58	250	10
75-57	75-58	250	10
76-57	76-58	250	10
77-57	77-58	250	10
78-57	78-58	250	10
79-57	79-58	250	10
80-57	80-58	250	10
81-57	81-58	250	10
82-57	82-58	250	10
83-57	83-58	250	10
84-57	84-58	250	10
85-57	85-58	250	10
86-57	86-58	250	10
87-57	87-58	250	10
88-57	88-58	250	10
89-57	89-58	250	10
90-57	90-58	250	10
91-57	91-58	250	10
92-57	92-58	250	10
93-57	93-58	250	10
94-57	94-58	250	10
95-57	95-58	250	10
96-57	96-58	250	10
97-57	97-58	250	10
98-57	98-58	250	10
99-57	99-58	250	10
100-57	100-58	250	10
1-57	1-60	750	3
2-57	2-60	750	3
3-57	3-60	750	3
4-57	4-60	750	3
5-57	5-60	750	3
6-57	6-60	750	3
7-57	7-60	750	3
8-57	8-60	750	3
9-57	9-60	750	3
10-57	10-60	750	3
11-57	11-60	750	3
12-57	12-60	750	3
13-57	13-60	750	3
14-57	14-60	750	3
15-57	15-60	750	3
16-57	16-60	750	3
17-57	17-60	750	3
18-57	18-60	750	3
19-57	19-60	750	3
20-57	20-60	750	3
21-57	21-60	750	3
22-57	22-60	750	3
23-57	23-60	750	3
24-57	24-60	750	3
25-57	25-60	750	3
26-57	26-60	750	3
27-57	27-60	750	3
28-57	28-60	750	3
29-57	29-60	750	3
30-57	30-60	750	3
31-57	31-60	750	3
32-57	32-60	750	3
33-57	33-60	750	3
34-57	34-60	750	3
35-57	35-60	750	3
36-57	36-60	750	3
37-57	37-60	750	3
38-57	38-60	750	3
39-57	39-60	750	3
40-57	40-60	750	3
41-57	41-60	750	3
42-57	42-60	750	3
43-57	43-60	750	3
44-57	44-60	750	3
45-57	45-60	750	3
46-57	46-60	750	3
47-57	47-60	750	3
48-57	48-60	750	3
49-57	49-60	750	3
50-57	50-60	750	3
51-57	51-60	750	3
52-57	52-60	750	3
53-57	53-60	750	3
54-57	54-60	750	3
55-57	55-60	750	3
56-57	56-60	750	3
57-57	57-60	750	3
58-57	58-60	750	3
59-57	59-60	750	3
60-57	60-60	750	3
61-57	61-60	750	3
62-57	62-60	750	3
63-57	63-60	750	3
64-57	64-60	750	3
65-57	65-60	750	3
66-57	66-60	750	3
67-57	67-60	750	3
68-57	68-60	750	3
69-57	69-60	750	3
70-57	70-60	750	3
71-57	71-60	750	3
72-57	72-60	750	3
73-57	73-60	750	3
74-57	74-60	750	3
75-57	75-60	750	3
76-57	76-60	750	3
77-57	77-60	750	3
78-57	78-60	750	3
79-57	79-60	750	3
80-57	80-60	750	3
81-57	81-60	750	3
82-57	82-60	750	3
83-57	83-60	750	3
84-57	84-60	750	3
85-57	85-60	750	3
86-57	86-60	750	3
87-57	87-60	750	3
88-57	88-60	750	3
89-57	89-60	750	3
90-57	90-60	750	3
91-57	91-60	750	3
92-57	92-60	750	3
93-57	93-60	750	3
94-57	94-60	750	3
95-57	95-60	750	3
96-57	96-60	750	3
97-57	97-60	750	3
98-57	98-60	750	3
99-57	99-60	750	3
100-57	100-60	750	3
1-58	1-59	250	10
2-58	2-59	250	10
3-58	3-59	250	10
4-58	4-59	250	10
5-58	5-59	250	10
6-58	6-59	250	10
7-58	7-59	250	10
8-58	8-59	250	10
9-58	9-59	250	10
10-58	10-59	250	10
11-58	11-59	250	10
12-58	12-59	250	10
13-58	13-59	250	10
14-58	14-59	250	10
15-58	15-59	250	10
16-58	16-59	250	10
17-58	17-59	250	10
18-58	18-59	250	10
19-58	19-59	250	10
20-58	20-59	250	10
21-58	21-59	250	10
22-58	22-59	250	10
23-58	23-59	250	10
24-58	24-59	250	10
25-58	25-59	250	10
26-58	26-59	250	10
27-58	27-59	250	10
28-58	28-59	250	10
29-58	29-59	250	10
30-58	30-59	250	10
31-58	31-59	250	10
32-58	32-59	250	10
33-58	33-59	250	10
34-58	34-59	250	10
35-58	35-59	250	10
36-58	36-59	250	10
37-58	37-59	250	10
38-58	38-59	250	10
39-58	39-59	250	10
40-58	40-59	250	10
41-58	41-59	250	10
42-58	42-59	250	10
43-58	43-59	250	10
44-58	44-59	250	10
45-58	45-59	250	10
46-58	46-59	250	10
47-58	47-59	250	10
48-58	48-59	250	10
49-58	49-59	250	10
50-58	50-59	250	10
51-58	51-59	250	10
52-58	52-59	250	10
53-58	53-59	250	10
54-58	54-59	250	10
55-58	55-59	250	10
56-58	56-59	250	10
57-58	57-59	250	10
58-58	58-59	250	10
59-58	59-59	250	10
60-58	60-59	250	10
61-58	61-59	250	10
62-58	62-59	250	10
63-58	63-59	250	10
64-58	64-59	250	10
65-58	65-59	250	10
66-58	66-59	250	10
67-58	67-59	250	10
68-58	68-59	250	10
69-58	69-59	250	10
70-58	70-59	250	10
71-58	71-59	250	10
72-58	72-59	250	10
73-58	73-59	250	10
74-58	74-59	250	10
75-58	75-59	250	10
76-58	76-59	250	10
77-58	77-59	250	10
78-58	78-59	250	10
79-58	79-59	250	10
80-58	80-59	250	10
81-58	81-59	250	10
82-58	82-59	250	10
83-58	83-59	250	10
84-58	84-59	250	10
85-58	85-59	250	10
86-58	86-59	250	10
87-58	87-59	250	10
88-58	88-59	250	10
89-58	89-59	250	10
90-58	90-59	250	10
91-58	91-59	250	10
92-58	92-59	250	10
93-58	93-59	250	10
94-58	94-59	250	10
95-58	95-59	250	10
96-58	96-59	250	10
97-58	97-59	250	10
98-58	98-59	250	10
99-58	99-59	250	10
100-58	100-59	250	10
1-60	1-61	550	5
2-60	2-61	550	5
3-60	3-61	550	5
4-60	4-61	550	5
5-60	5-61	550	5
6-60	6-61	550	5
7-60	7-61	550	5
8-60	8-61	550	5
9-60	9-61	550	5
10-60	10-61	550	5
11-60	11-61	550	5
12-60	12-61	550	5
13-60	13-61	550	5
14-60	14-61	550	5
15-60	15-61	550	5
16-60	16-61	550	5
17-60	17-61	550	5
18-60	18-61	550	5
19-60	19-61	550	5
20-60	20-61	550	5
21-60	21-61	550	5
22-60	22-61	550	5
23-60	23-61	550	5
24-60	24-61	550	5
25-60	25-61	550	5
26-60	26-61	550	5
27-60	27-61	550	5
28-60	28-61	550	5
29-60	29-61	550	5
30-60	30-61	550	5
31-60	31-61	550	5
32-60	32-61	550	5
33-60	33-61	550	5
34-60	34-61	550	5
35-60	35-61	550	5
36-60	36-61	550	5
37-60	37-61	550	5
38-60	38-61	550	5
39-60	39-61	550	5
40-60	40-61	550	5
41-60	41-61	550	5
42-60	42-61	550	5
43-60	43-61	550	5
44-60	44-61	550	5
45-60	45-61	550	5
46-60	46-61	550	5
47-60	47-61	550	5
48-60	48-61	550	5
49-60	49-61	550	5
50-60	50-61	550	5
51-60	51-61	550	5
52-60	52-61	550	5
53-60	53-61	550	5
54-60	54-61	550	5
55-60	55-61	550	5
56-60	56-61	550	5
57-60	57-61	550	5
58-60	58-61	550	5
59-60	59-61	550	5
60-60	60-61	550	5
61-60	61-61	550	5
62-60	62-61	550	5
63-60	63-61	550	5
64-60	64-61	550	5
65-60	65-61	550	5
66-60	66-61	550	5
67-60	67-61	550	5
68-60	68-61	550	5
69-60	69-61	550	5
70-60	70-61	550	5
71-60	71-61	550	5
72-60	72-61	550	5
73-60	73-61	550	5
74-60	74-61	550	5
75-60	75-61	550	5
76-60	76-61	550	5
77-60	77-61	550	5
78-60	78-61	550	5
79-60	79-61	550	5
80-60	80-61	550	5
81-60	81-61	550	5
82-60	82-61	550	5
83-60	83-61	550	5
84-60	84-61	550	5
85-60	85-61	550	5
86-60	86-61	550	5
87-60	87-61	550	5
88-60	88-61	550	5
89-60	89-61	550	5
90-60	90-61	550	5
91-60	91-61	550	5
92-60	92-61	550	5
93-60	93-61	550	5
94-60	94-61	550	5
95-60	95-61	550	5
96-60	96-61	550	5
97-60	97-61	550	5
98-60	98-61	550	5
99-60	99-61	550	5
100-60	100-61	550	5
1-60	1-62	250	12
2-60	2-62	250	12
3-60	3-62	250	12
4-60	4-62	250	12
5-60	5-62	250	12
6-60	6-62	250	12
7-60	7-62	250	12
8-60	8-62	250	12
9-60	9-62	250	12
10-60	10-62	250	12
11-60	11-62	250	12
12-60	12-62	250	12
13-60	13-62	250	12
14-60	14-62	250	12
15-60	15-62	250	12
16-60	16-62	250	12
17-60	17-62	250	12
18-60	18-62	250	12
19-60	19-62	250	12
20-60	20-62	250	12
21-60	21-62	250	12
22-60	22-62	250	12
23-60	23-62	250	12
24-60	24-62	250	12
25-60	25-62	250	12
26-60	26-62	250	12
27-60	27-62	250	12
28-60	28-62	250	12
29-60	29-62	250	12
30-60	30-62	250	12
31-60	31-62	250	12
32-60	32-62	250	12
33-60	33-62	250	12
34-60	34-62	250	12
35-60	35-62	250	12
36-60	36-62	250	12
37-60	37-62	250	12
38-60	38-62	250	12
39-60	39-62	250	12
40-60	40-62	250	12
41-60	41-62	250	12
42-60	42-62	250	12
43-60	43-62	250	12
44-60	44-62	250	12
45-60	45-62	250	12
46-60	46-62	250	12
47-60	47-62	250	12
48-60	48-62	250	12
49-60	49-62	250	12
50-60	50-62	250	12
51-60	51-62	250	12
52-60	52-62	250	12
53-60	53-62	250	12
54-60	54-62	250	12
55-60	55-62	250	12
56-60	56-62	250	12
57-60	57-62	250	12
58-60	58-62	250	12
59-60	59-62	250	12
60-60	60-62	250	12
61-60	61-62	250	12
62-60	62-62	250	12
63-60	63-62	250	12
64-60	64-62	250	12
65-60	65-62	250	12
66-60	66-62	250	12
67-60	67-62	250	12
68-60	68-62	250	12
69-60	69-62	250	12
70-60	70-62	250	12
71-60	71-62	250	12
72-60	72-62	250	12
73-60	73-62	250	12
74-60	74-62	250	12
75-60	75-62	250	12
76-60	76-62	250	12
77-60	77-62	250	12
78-60	78-62	250	12
79-60	79-62	250	12
80-60	80-62	250	12
81-60	81-62	250	12
82-60	82-62	250	12
83-60	83-62	250	12
84-60	84-62	250	12
85-60	85-62	250	12
86-60	86-62	250	12
87-60	87-62	250	12
88-60	88-62	250	12
89-60	89-62	250	12
90-60	90-62	250	12
91-60	91-62	250	12
92-60	92-62	250	12
93-60	93-62	250	12
94-60	94-62	250	12
95-60	95-62	250	12
96-60	96-62	250	12
97-60	97-62	250	12
98-60	98-62	250	12
99-60	99-62	250	12
100-60	100-62	250	12
1-62	1-63	175	12
2-62	2-63	175	12
3-62	3-63	175	12
4-62	4-63	175	12
5-62	5-63	175	12
6-62	6-63	175	12
7-62	7-63	175	12
8-62	8-63	175	12
9-62	9-63	175	12
10-62	10-63	175	12
11-62	11-63	175	12
12-62	12-63	175	12
13-62	13-63	175	12
14-62	14-63	175	12
15-62	15-63	175	12
16-62	16-63	175	12
17-62	17-63	175	12
18-62	18-63	175	12
19-62	19-63	175	12
20-62	20-63	175	12
21-62	21-63	175	12
22-62	22-63	175	12
23-62	23-63	175	12
24-62	24-63	175	12
25-62	25-63	175	12
26-62	26-63	175	12
27-62	27-63	175	12
28-62	28-63	175	12
29-62	29-63	175	12
30-62	30-63	175	12
31-62	31-63	175	12
32-62	32-63	175	12
33-62	33-63	175	12
34-62	34-63	175	12
35-62	35-63	175	12
36-62	36-63	175	12
37-62	37-63	175	12
38-62	38-63	175	12
39-62	39-63	175	12
40-62	40-63	175	12
41-62	41-63	175	12
42-62	42-63	175	12
43-62	43-63	175	12
44-62	44-63	175	12
45-62	45-63	175	12
46-62	46-63	175	12
47-62	47-63	175	12
48-62	48-63	175	12
49-62	49-63	175	12
50-62	50-63	175	12
51-62	51-63	175	12
52-62	52-63	175	12
53-62	53-63	175	12
54-62	54-63	175	12
55-62	55-63	175	12
56-62	56-63	175	12
57-62	57-63	175	12
58-62	58-63	175	12
59-62	59-63	175	12
60-62	60-63	175	12
61-62	61-63	175	12
62-62	62-63	175	12
63-62	63-63	175	12
64-62	64-63	175	12
65-62	65-63	175	12
66-62	66-63	175	12
67-62	67-63	175	12
68-62	68-63	175	12
69-62	69-63	175	12
70-62	70-63	175	12
71-62	71-63	175	12
72-62	72-63	175	12
73-62	73-63	175	12
74-62	74-63	175	12
75-62	75-63	175	12
76-62	76-63	175	12
77-62	77-63	175	12
78-62	78-63	175	12
79-62	79-63	175	12
80-62	80-63	175	12
81-62	81-63	175	12
82-62	82-63	175	12
83-62	83-63	175	12
84-62	84-63	175	12
85-62	85-63	175	12
86-62	86-63	175	12
87-62	87-63	175	12
88-62	88-63	175	12
89-62	89-63	175	12
90-62	90-63	175	12
91-62	91-63	175	12
92-62	92-63	175	12
93-62	93-63	175	12
94-62	94-63	175	12
95-62	95-63	175	12
96-62	96-63	175	12
97-62	97-63	175	12
98-62	98-63	175	12
99-62	99-63	175	12
100-62	100-63	175	12
1-63	1-64	350	12
2-63	2-64	350	12
3-63	3-64	350	12
4-63	4-64	350	12
5-63	5-64	350	12
6-63	6-64	350	12
7-63	7-64	350	12
8-63	8-64	350	12
9-63	9-64	350	12
10-63	10-64	350	12
11-63	11-64	350	12
12-63	12-64	350	12
13-63	13-64	350	12
14-63	14-64	350	12
15-63	15-64	350	12
16-63	16-64	350	12
17-63	17-64	350	12
18-63	18-64	350	12
19-63	19-64	350	12
20-63	20-64	350	12
21-63	21-64	350	12
22-63	22-64	350	12
23-63	23-64	350	12
24-63	24-64	350	12
25-63	25-64	350	12
26-63	26-64	350	12
27-63	27-64	350	12
28-63	28-64	350	12
29-63	29-64	350	12
30-63	30-64	350	12
31-63	31-64	350	12
32-63	32-64	350	12
33-63	33-64	350	12
34-63	34-64	350	12
35-63	35-64	350	12
36-63	36-64	350	12
37-63	37-64	350	12
38-63	38-64	350	12
39-63	39-64	350	12
40-63	40-64	350	12
41-63	41-64	350	12
42-63	42-64	350	12
43-63	43-64	350	12
44-63	44-64	350	12
45-63	45-64	350	12
46-63	46-64	350	12
47-63	47-64	350	12
48-63	48-64	350	12
49-63	49-64	350	12
50-63	50-64	350	12
51-63	51-64	350	12
52-63	52-64	350	12
53-63	53-64	350	12
54-63	54-64	350	12
55-63	55-64	350	12
56-63	56-64	350	12
57-63	57-64	350	12
58-63	58-64	350	12
59-63	59-64	350	12
